dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,n_parameters,threshold,architecture,batch_size,learning_rate,selected_epochs,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
electricity,LSTM,88,forecast_original,42,4.597130945000572,0.009839021023816756,19588,4897,0.3373933903351426,small,16,0.001,38,0.14261345265526224,0.1095002438146319,11.784161506000054,0.6236783898411098,0.6236783898411098,0,1,,,,forecast_only
electricity,LSTM,88,injected_5pct,42,4.597130945000572,0.010164450642887027,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,2,4,0.5,1.0,0.6666666666666666,applicable
electricity,LSTM,88,injected_10pct,42,4.597130945000572,0.009992470404735545,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,4,8,0.5,1.0,0.6666666666666666,applicable
electricity,LSTM,88,proxy_robust_z,42,4.597130945000572,0.009681514642904534,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,0,1,,,,not_applicable_no_positive_reference
electricity,LSTM,99,forecast_original,42,5.7767874319997645,0.009816571785796398,19588,4897,0.3373933903351426,small,16,0.001,38,0.14063151706412053,0.10694393592539052,11.605442470278447,0.6340653845949734,0.6340653845949734,0,1,,,,forecast_only
electricity,LSTM,99,injected_5pct,42,5.7767874319997645,0.009983870095203158,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,2,3,0.6666666666666666,1.0,0.8,applicable
electricity,LSTM,99,injected_10pct,42,5.7767874319997645,0.01002636397615355,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,4,8,0.5,1.0,0.6666666666666666,applicable
electricity,LSTM,99,proxy_robust_z,42,5.7767874319997645,0.009668480523790398,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,0,1,,,,not_applicable_no_positive_reference
electricity,LSTM,110,forecast_original,42,4.410091601000204,0.009971924119023848,19588,4897,0.3373933903351426,small,16,0.001,38,0.13536303061448857,0.10586073618932619,11.599699553683603,0.6609698607056911,0.6609698607056911,0,1,,,,forecast_only
electricity,LSTM,110,injected_5pct,42,4.410091601000204,0.009778442547572229,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,2,3,0.6666666666666666,1.0,0.8,applicable
electricity,LSTM,110,injected_10pct,42,4.410091601000204,0.009571358404779554,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,4,6,0.6666666666666666,1.0,0.8,applicable
electricity,LSTM,110,proxy_robust_z,42,4.410091601000204,0.011251486619043828,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,0,1,,,,not_applicable_no_positive_reference
